Marketing_Airline_Network,AvgDelay,MaxDelay,CancelRate
AA,3.9890595071433173,3795.0,0.018265793294197984
AS,2.4501907483529477,976.0,0.02681938746791072
B6,11.337057905063226,1833.0,0.019468893213635506
DL,0.2550364121800955,2973.0,0.011641139633598436
F9,8.488047717366369,1404.0,0.016253747830203568
G4,10.177533478340628,1966.0,0.02199775102864883
HA,4.048612793543914,1717.0,0.011537287953883835
NK,5.4568107848213625,1598.0,0.015785965337534843
UA,4.835409284963812,1909.0,0.024209184787649447
VX,-2.7536307961504813,504.0,0.01768543956043956
WN,1.5638818510071326,812.0,0.02441632101001027
