Dest,AvgDelay,MaxDelay,CancelRate
ABE,3.4481662915397857,1306.0,0.019906928645294725
ABI,1.8822163238221632,921.0,0.012103369316323193
ABQ,3.046800129347091,1053.0,0.01443072384973539
ABR,3.7342105263157896,1174.0,0.031197301854974706
ABY,0.9256254225828262,1051.0,0.004032258064516129
ACK,0.5,127.0,0.04
ACT,-0.039330922242314645,597.0,0.016873889875666074
ACV,10.394032134659525,955.0,0.04119985543910372
ACY,2.9369198312236287,925.0,0.022034596375617794
ADK,3.541095890410959,118.0,0.10843373493975904
ADQ,6.247033441208199,424.0,0.07631318136769079
AEX,1.1428571428571428,819.0,0.015772128060263655
AGS,2.814455829410136,920.0,0.010798250410060143
AKN,10.83445945945946,161.0,0.08206686930091185
ALB,6.269986168741355,1220.0,0.024860886734877043
ALO,3.0455486542443064,431.0,0.036852589641434265
ALS,-7.207482993197279,926.0,0.06349206349206349
ALW,3.8341187558906693,226.0,0.09483488569009314
AMA,5.9685471792311535,1465.0,0.02321059667031231
ANC,3.991976688487945,1172.0,0.03360923965351299
APN,11.478213507625272,2308.0,0.06180344478216818
ART,2.0364583333333335,1209.0,0.08371665133394664
ASE,22.49975908258649,1627.0,0.07000856898029134
ATL,-0.1726176803871126,2108.0,0.009272276008412118
ATW,7.288944202447625,1076.0,0.024655328569990944
ATY,-4.85995085995086,586.0,0.050808314087759814
AUS,3.533145916256112,1592.0,0.01744889511558301
AVL,5.015281690140845,1412.0,0.020926243567753
AVP,4.339512904398401,1074.0,0.02629257102523381
AZA,14.214063886424135,1542.0,0.023590520506438697
AZO,5.460289266683583,949.0,0.03627952276600925
BDL,4.970108845792585,1267.0,0.02217426490423523
BET,4.236962488563586,314.0,0.03430079155672823
BFF,1.1674057649667406,814.0,0.03723404255319149
BFL,7.313938111610685,1108.0,0.016350895406177006
BFM,-6.341463414634147,116.0,0.0
BGM,0.5579302587176603,963.0,0.023835319609967497
BGR,2.5,810.0,0.041713460612867
BHM,4.334369722094273,1164.0,0.014846996599924443
BIH,16.41044776119403,372.0,0.045774647887323945
BIL,1.8448085926741944,1212.0,0.010050251256281407
BIS,3.870511425462459,1096.0,0.03063983178131571
BJI,2.398206278026906,738.0,0.02610966057441253
BKG,8.310344827586206,176.0,0.0
BLI,2.551976239433402,1004.0,0.031112091791703444
BLV,3.7410926365795723,1699.0,0.017815646785437646
BMI,6.601742075973869,995.0,0.0255928621742193
BNA,1.8426849728082475,2973.0,0.022448252661574384
BOI,2.757101752550353,1478.0,0.011276546331896885
BOS,5.772333640795889,1833.0,0.024417296997519756
BPT,4.717829457364341,946.0,0.022556390977443608
